time	V(pulse)	V(ref)	V(v+)
1.877382247147829e-07	2.770138e-03	2.834118e-03	3.297166e+00
1.877453101042982e-07	2.812271e-03	2.834118e-03	3.297166e+00
1.877521408342872e-07	2.852833e-03	2.834118e-03	3.297166e+00
1.877601997704470e-07	2.890650e-03	2.834118e-03	3.297166e+00
1.877680193161114e-07	2.911490e-03	2.834117e-03	3.297166e+00
1.877729198913248e-07	2.913651e-03	2.834116e-03	3.297166e+00
1.877771844321258e-07	2.907511e-03	2.834116e-03	3.297166e+00
1.877811919956609e-07	2.896063e-03	2.834115e-03	3.297166e+00
1.877877355283036e-07	2.870811e-03	2.834115e-03	3.297166e+00
1.877945898844791e-07	2.841498e-03	2.834115e-03	3.297166e+00
1.877996455603162e-07	2.820995e-03	2.834115e-03	3.297166e+00
1.878051022685854e-07	2.803341e-03	2.834115e-03	3.297166e+00
1.878108607916351e-07	2.791683e-03	2.834116e-03	3.297166e+00
1.878170423789038e-07	2.787043e-03	2.834116e-03	3.297166e+00
1.878209381122608e-07	2.788769e-03	2.834117e-03	3.297166e+00
1.878259768308226e-07	2.795888e-03	2.834117e-03	3.297166e+00
1.878311189722921e-07	2.806303e-03	2.834117e-03	3.297166e+00
1.878351990152449e-07	2.816033e-03	2.834118e-03	3.297166e+00
1.878394091646074e-07	2.826347e-03	2.834118e-03	3.297166e+00
1.878446113009068e-07	2.837923e-03	2.834118e-03	3.297166e+00
1.878507026233070e-07	2.848595e-03	2.834118e-03	3.297166e+00
1.878569714014252e-07	2.855479e-03	2.834117e-03	3.297166e+00
1.878630634600393e-07	2.858126e-03	2.834117e-03	3.297166e+00
1.878669918316976e-07	2.857590e-03	2.834117e-03	3.297166e+00
1.878709240112625e-07	2.855398e-03	2.834117e-03	3.297166e+00
1.878742423943460e-07	2.852653e-03	2.834117e-03	3.297166e+00
1.878781769934017e-07	2.848700e-03	2.834117e-03	3.297166e+00
1.878824897816418e-07	2.844121e-03	2.834117e-03	3.297166e+00
1.878901315954575e-07	2.836459e-03	2.834117e-03	3.297166e+00
1.878953332090582e-07	2.832202e-03	2.834117e-03	3.297166e+00
1.879005585624236e-07	2.829347e-03	2.834117e-03	3.297166e+00
1.879066978858749e-07	2.827648e-03	2.834117e-03	3.297166e+00
1.879120071469881e-07	2.827360e-03	2.834117e-03	3.297166e+00
1.879153076812437e-07	2.827721e-03	2.834117e-03	3.297166e+00
1.879196448125802e-07	2.828602e-03	2.834117e-03	3.297166e+00
1.879241780785201e-07	2.829668e-03	2.834117e-03	3.297166e+00
1.879297610532228e-07	2.830946e-03	2.834117e-03	3.297166e+00
1.879342816190976e-07	2.831832e-03	2.834117e-03	3.297166e+00
1.879377763299487e-07	2.832372e-03	2.834117e-03	3.297166e+00
1.879420129941847e-07	2.832893e-03	2.834117e-03	3.297166e+00
1.879463586278947e-07	2.833368e-03	2.834117e-03	3.297166e+00
1.879506140382528e-07	2.833888e-03	2.834117e-03	3.297166e+00
1.879551633702920e-07	2.834701e-03	2.834117e-03	3.297166e+00
1.879622076750389e-07	2.836622e-03	2.834117e-03	3.297166e+00
1.879690061769693e-07	2.839215e-03	2.834117e-03	3.297166e+00
1.879755571378876e-07	2.842259e-03	2.834117e-03	3.297166e+00
1.879824418096766e-07	2.845506e-03	2.834117e-03	3.297166e+00
1.879887690760294e-07	2.847897e-03	2.834117e-03	3.297166e+00
1.879958150732439e-07	2.849245e-03	2.834117e-03	3.297166e+00
1.880029361778452e-07	2.848930e-03	2.834117e-03	3.297166e+00
1.880088202808667e-07	2.847232e-03	2.834117e-03	3.297166e+00
1.880147170854696e-07	2.844310e-03	2.834117e-03	3.297166e+00
1.880202732573762e-07	2.840752e-03	2.834116e-03	3.297166e+00
1.880261974674221e-07	2.836505e-03	2.834116e-03	3.297166e+00
1.880325210721574e-07	2.832070e-03	2.834117e-03	3.297166e+00
1.880396834832231e-07	2.827929e-03	2.834117e-03	3.297166e+00
