time	V(far)	V(near)	V(probe)
3.246629344701959e-09	2.842883e+00	3.340780e+00	-3.029010e-01
3.249201907197889e-09	2.848538e+00	3.334409e+00	-3.054475e-01
3.252771100635563e-09	2.857818e+00	3.324177e+00	-3.085988e-01
3.256799442199165e-09	2.869236e+00	3.312139e+00	-3.116142e-01
3.258681443810674e-09	2.890974e+00	3.314631e+00	-3.128232e-01
3.259609436143678e-09	2.907054e+00	3.318895e+00	-3.133723e-01
3.261237727154248e-09	2.928476e+00	3.324082e+00	-3.142598e-01
3.262997832044350e-09	2.947289e+00	3.328328e+00	-3.151098e-01
3.264602044227999e-09	2.961128e+00	3.331112e+00	-3.157853e-01
3.266917042470026e-09	2.976624e+00	3.333602e+00	-3.165925e-01
3.269035284185651e-09	2.987026e+00	3.334565e+00	-3.171570e-01
3.271403507267039e-09	2.995382e+00	3.334506e+00	-3.175905e-01
3.273910135072264e-09	3.001358e+00	3.333500e+00	-3.178215e-01
3.275871685343439e-09	3.004468e+00	3.332256e+00	-3.178386e-01
3.278077672072014e-09	3.006764e+00	3.330598e+00	-3.176858e-01
3.280537039456677e-09	3.008228e+00	3.328645e+00	-3.173006e-01
3.284633750927191e-09	3.009095e+00	3.325725e+00	-3.161560e-01
3.287451153102179e-09	3.033305e+00	3.332278e+00	-3.150042e-01
3.290027621830182e-09	3.070339e+00	3.344489e+00	-3.136920e-01
3.292689566182586e-09	3.095518e+00	3.354383e+00	-3.120777e-01
3.296241661118907e-09	3.114595e+00	3.364055e+00	-3.095182e-01
3.300232795848273e-09	3.122842e+00	3.371205e+00	-3.060966e-01
3.305783404971434e-09	3.121751e+00	3.376981e+00	-3.003981e-01
3.312613014256957e-09	3.104317e+00	3.388827e+00	-2.919312e-01
3.321318426517351e-09	3.080785e+00	3.406852e+00	-2.789224e-01
3.333846959897976e-09	3.076448e+00	3.421687e+00	-2.561962e-01
3.349870506017449e-09	3.032957e+00	3.443896e+00	-2.211528e-01
3.368357853732769e-09	3.025653e+00	3.476102e+00	-1.741975e-01
3.374396298445472e-09	3.046025e+00	3.480286e+00	-1.576689e-01
3.379966266019298e-09	3.070729e+00	3.487134e+00	-1.420655e-01
3.384782107772775e-09	3.105225e+00	3.501399e+00	-1.283584e-01
3.388704081062121e-09	3.131086e+00	3.514005e+00	-1.170840e-01
3.392998278668147e-09	3.157266e+00	3.528085e+00	-1.046622e-01
3.397751436246340e-09	3.171486e+00	3.537351e+00	-9.086340e-02
3.402978004347056e-09	3.179016e+00	3.543041e+00	-7.568925e-02
3.408772186932378e-09	3.198771e+00	3.553976e+00	-5.894566e-02
3.416805139176654e-09	3.233431e+00	3.573225e+00	-3.603988e-02
3.425575826991725e-09	3.272818e+00	3.576527e+00	-1.168057e-02
3.437644042739438e-09	3.320707e+00	3.576133e+00	2.020110e-02
3.449373651088883e-09	3.372772e+00	3.579606e+00	4.883786e-02
3.458186841673709e-09	3.407273e+00	3.581383e+00	6.851517e-02
3.465198412447154e-09	3.421195e+00	3.595206e+00	8.288854e-02
3.472309775475470e-09	3.430268e+00	3.611887e+00	9.619860e-02
3.480745640548675e-09	3.437848e+00	3.628404e+00	1.102036e-01
3.485167937989706e-09	3.443640e+00	3.614897e+00	1.167326e-01
3.489349533624854e-09	3.450010e+00	3.588559e+00	1.223710e-01
3.494547903852110e-09	3.454766e+00	3.570209e+00	1.286414e-01
3.498379773073336e-09	3.456763e+00	3.564641e+00	1.327351e-01
3.503278095932150e-09	3.458160e+00	3.563963e+00	1.373121e-01
3.508797121293835e-09	3.458655e+00	3.568198e+00	1.415860e-01
3.515018500431664e-09	3.458243e+00	3.574914e+00	1.452813e-01
3.519006163973976e-09	3.454775e+00	3.561209e+00	1.470244e-01
3.521713547660048e-09	3.451009e+00	3.542278e+00	1.479312e-01
3.525280022925429e-09	3.447472e+00	3.524565e+00	1.487875e-01
3.527619012935613e-09	3.445778e+00	3.516764e+00	1.491424e-01
3.529875208625409e-09	3.444443e+00	3.511548e+00	1.493318e-01
3.531950882825575e-09	3.443390e+00	3.508402e+00	1.493749e-01
3.534016223773204e-09	3.442447e+00	3.506537e+00	1.492947e-01
3.537535935043391e-09	3.440947e+00	3.505437e+00	1.488798e-01
3.541834296233566e-09	3.439919e+00	3.494101e+00	1.479063e-01
3.546774263494945e-09	3.438891e+00	3.474091e+00	1.461736e-01
3.551607641701103e-09	3.436656e+00	3.464312e+00	1.438660e-01
3.559490092287765e-09	3.432340e+00	3.445437e+00	1.388824e-01
3.567660894737331e-09	3.426093e+00	3.426409e+00	1.322336e-01
3.575354441752089e-09	3.406271e+00	3.404385e+00	1.247282e-01
3.583780181208325e-09	3.381448e+00	3.377607e+00	1.152987e-01
3.592564683661240e-09	3.363487e+00	3.360563e+00	1.043273e-01
3.599752280888303e-09	3.360629e+00	3.336275e+00	9.463917e-02
3.607222424217761e-09	3.365623e+00	3.310037e+00	8.405123e-02
3.615535019905283e-09	3.359339e+00	3.294499e+00	7.183504e-02
3.630946057996001e-09	3.365008e+00	3.265904e+00	4.873240e-02
3.644926217829875e-09	3.364089e+00	3.219686e+00	2.806368e-02
3.649815290686871e-09	3.352246e+00	3.201380e+00	2.106157e-02
3.654058730041496e-09	3.340601e+00	3.188800e+00	1.513945e-02
3.658361961268504e-09	3.328576e+00	3.178279e+00	9.309744e-03
3.662210169814926e-09	3.343044e+00	3.172171e+00	4.267123e-03
3.665994254525950e-09	3.371312e+00	3.168362e+00	-5.166839e-04
3.669828989731673e-09	3.382041e+00	3.163804e+00	-5.171640e-03
3.674515534495062e-09	3.380386e+00	3.157009e+00	-1.057481e-02
3.679927298227532e-09	3.367637e+00	3.147705e+00	-1.639249e-02
3.686393499501638e-09	3.319742e+00	3.127178e+00	-2.270277e-02
3.693399970566844e-09	3.260231e+00	3.100837e+00	-2.869019e-02
3.701790107766199e-09	3.194741e+00	3.074466e+00	-3.459811e-02
3.707640079339846e-09	3.171731e+00	3.059352e+00	-3.785265e-02
3.712339210149195e-09	3.173917e+00	3.051265e+00	-3.992549e-02
3.720197390207844e-09	3.172035e+00	3.043943e+00	-4.227062e-02
3.725973977660901e-09	3.208910e+00	3.047993e+00	-4.308220e-02
3.730399798209942e-09	3.249417e+00	3.054579e+00	-4.317505e-02
3.735472523360350e-09	3.274496e+00	3.059633e+00	-4.271824e-02
3.741017768302992e-09	3.301141e+00	3.062365e+00	-4.153851e-02
3.747517187094521e-09	3.327527e+00	3.062890e+00	-3.927232e-02
3.753739934881210e-09	3.332673e+00	3.061971e+00	-3.623539e-02
3.762271341307049e-09	3.328975e+00	3.060432e+00	-3.075942e-02
3.770122000617746e-09	3.356929e+00	3.068483e+00	-2.445410e-02
3.783806303544759e-09	3.392581e+00	3.090014e+00	-1.091068e-02
3.794222784702844e-09	3.369937e+00	3.099724e+00	1.285888e-03
3.805943522166823e-09	3.356882e+00	3.113492e+00	1.649440e-02
3.818558044783806e-09	3.372423e+00	3.130440e+00	3.406927e-02
3.830821457106969e-09	3.418103e+00	3.146933e+00	5.175696e-02
3.842332455457838e-09	3.457711e+00	3.175553e+00	6.834226e-02
3.851200487624286e-09	3.488411e+00	3.183891e+00	8.077998e-02
3.856708705765398e-09	3.511719e+00	3.174445e+00	8.824258e-02
3.862695627812117e-09	3.529242e+00	3.178221e+00	9.604576e-02
3.866248408352111e-09	3.534876e+00	3.193517e+00	1.005030e-01
3.871052428214905e-09	3.540623e+00	3.213420e+00	1.062918e-01
3.876152144243907e-09	3.542145e+00	3.231284e+00	1.121055e-01
3.886351576301909e-09	3.536651e+00	3.275047e+00	1.225242e-01
3.891726678097456e-09	3.538492e+00	3.308946e+00	1.272965e-01
3.895786570621853e-09	3.543659e+00	3.341032e+00	1.305280e-01
3.900581933757431e-09	3.548513e+00	3.370338e+00	1.338943e-01
3.904405720844774e-09	3.550612e+00	3.383701e+00	1.362066e-01
3.909619298466373e-09	3.551425e+00	3.387677e+00	1.387905e-01
3.914672313025094e-09	3.553789e+00	3.370356e+00	1.406386e-01
3.920549614429236e-09	3.564118e+00	3.355478e+00	1.419428e-01
3.928197282319429e-09	3.579802e+00	3.358536e+00	1.422452e-01
3.936117037139160e-09	3.587183e+00	3.345664e+00	1.408776e-01
3.943263220376653e-09	3.588996e+00	3.317763e+00	1.381811e-01
3.953386102771615e-09	3.588898e+00	3.270353e+00	1.320662e-01
3.963765751215992e-09	3.581738e+00	3.244635e+00	1.231743e-01
3.968506102638322e-09	3.574646e+00	3.247277e+00	1.182897e-01
3.972047910411164e-09	3.569050e+00	3.253884e+00	1.143276e-01
3.975553482290196e-09	3.565287e+00	3.262935e+00	1.101548e-01
