time	V(pulse)	V(ref)	V(v+)
8.823513230178001e-09	3.237866e+00	6.296645e-02	3.237034e+00
8.848132036957133e-09	3.237434e+00	6.334209e-02	3.236658e+00
8.869565116641362e-09	3.237421e+00	6.331132e-02	3.236689e+00
8.891769423195424e-09	3.237753e+00	6.293429e-02	3.237066e+00
8.912366847730666e-09	3.238316e+00	6.233063e-02	3.237669e+00
8.931757562067943e-09	3.239019e+00	6.158584e-02	3.238414e+00
8.957565340839684e-09	3.240071e+00	6.047346e-02	3.239527e+00
8.985639776530799e-09	3.241143e+00	5.932598e-02	3.240674e+00
9.031833667782021e-09	3.242520e+00	5.780847e-02	3.242192e+00
9.058218962960860e-09	3.242988e+00	5.725269e-02	3.242747e+00
9.075113544447829e-09	3.243070e+00	5.711269e-02	3.242887e+00
9.097425632072865e-09	3.242965e+00	5.714047e-02	3.242860e+00
9.121874499946199e-09	3.242692e+00	5.733182e-02	3.242668e+00
9.159512284004096e-09	3.242185e+00	5.772414e-02	3.242276e+00
9.199034207808472e-09	3.241784e+00	5.801564e-02	3.241984e+00
9.231911903173438e-09	3.241710e+00	5.800706e-02	3.241993e+00
9.264644319000019e-09	3.241923e+00	5.771587e-02	3.242284e+00
9.286670899793830e-09	3.242226e+00	5.736208e-02	3.242638e+00
9.309021728255520e-09	3.242661e+00	5.687588e-02	3.243124e+00
9.334135737405200e-09	3.243277e+00	5.620429e-02	3.243796e+00
9.372855612599527e-09	3.244399e+00	5.499736e-02	3.245003e+00
9.410220912087892e-09	3.245570e+00	5.374235e-02	3.246258e+00
9.438815891542709e-09	3.246459e+00	5.278660e-02	3.247213e+00
9.456214503243379e-09	3.246961e+00	5.224384e-02	3.247756e+00
9.476833353044552e-09	3.247506e+00	5.164996e-02	3.248350e+00
9.499178332993755e-09	3.248066e+00	5.103894e-02	3.248961e+00
9.533764786885840e-09	3.248917e+00	5.011367e-02	3.249886e+00
9.574771500802929e-09	3.249949e+00	4.899694e-02	3.251003e+00
9.621192239323603e-09	3.251218e+00	4.764039e-02	3.252360e+00
9.648798314836911e-09	3.252104e+00	4.671075e-02	3.253289e+00
9.668421854243306e-09	3.252875e+00	4.591567e-02	3.254084e+00
9.686442792174427e-09	3.253731e+00	4.504205e-02	3.254958e+00
9.704573995420667e-09	3.254766e+00	4.399445e-02	3.256006e+00
9.731550969459932e-09	3.256573e+00	4.217001e-02	3.257830e+00
9.763794083793038e-09	3.258981e+00	3.974092e-02	3.260259e+00
9.794050934350436e-09	3.261299e+00	3.739474e-02	3.262605e+00
9.827050083805472e-09	3.263661e+00	3.499090e-02	3.265009e+00
9.848365369741881e-09	3.264971e+00	3.364731e-02	3.266353e+00
9.863956245796797e-09	3.265742e+00	3.284811e-02	3.267152e+00
9.882567355500827e-09	3.266454e+00	3.210162e-02	3.267898e+00
9.907499457667614e-09	3.267148e+00	3.136396e-02	3.268636e+00
9.941503220383999e-09	3.267816e+00	3.064490e-02	3.269355e+00
9.990241650780710e-09	3.268780e+00	2.963196e-02	3.270368e+00
1.004283728044828e-08	3.270567e+00	2.783091e-02	3.272169e+00
1.009165661570257e-08	3.273350e+00	2.506975e-02	3.274930e+00
1.011420062199580e-08	3.275147e+00	2.329197e-02	3.276708e+00
1.012927520425239e-08	3.276585e+00	2.186848e-02	3.278131e+00
1.015024165918190e-08	3.278722e+00	1.974709e-02	3.280253e+00
1.016352556794500e-08	3.280105e+00	1.837225e-02	3.281628e+00
1.017565741261668e-08	3.281357e+00	1.712415e-02	3.282876e+00
1.018950281732406e-08	3.282726e+00	1.575627e-02	3.284244e+00
1.020809852964322e-08	3.284358e+00	1.411981e-02	3.285880e+00
1.024528995428156e-08	3.286896e+00	1.155613e-02	3.288444e+00
1.028553689916256e-08	3.288605e+00	9.806907e-03	3.290193e+00
