time	V(far)	V(near)	V(probe)
3.214248626521902e-09	3.233005e+00	3.108794e+00	2.364747e+00
3.232650170648260e-09	3.129204e+00	3.195652e+00	2.312469e+00
3.251730676050922e-09	3.076184e+00	3.147069e+00	2.281047e+00
3.266815325909328e-09	3.075876e+00	3.149198e+00	2.236281e+00
3.283509058332635e-09	3.061194e+00	3.183195e+00	2.221825e+00
3.300149529428683e-09	3.078989e+00	3.215125e+00	2.192550e+00
3.316798123576692e-09	3.069691e+00	3.284127e+00	2.180716e+00
3.329817656330891e-09	3.022081e+00	3.299726e+00	2.179039e+00
3.344339993650376e-09	2.993313e+00	3.309900e+00	2.180141e+00
3.357119077569858e-09	2.984433e+00	3.313845e+00	2.191370e+00
3.372147108297159e-09	2.987959e+00	3.313435e+00	2.207927e+00
3.384977614630986e-09	2.971693e+00	3.392393e+00	2.206616e+00
3.397256250577165e-09	2.946578e+00	3.495860e+00	2.219833e+00
3.410183719561877e-09	2.953346e+00	3.521385e+00	2.238230e+00
3.421350000677529e-09	2.988286e+00	3.533621e+00	2.248699e+00
3.433856198012731e-09	3.023630e+00	3.567496e+00	2.263864e+00
3.445944898739664e-09	3.032493e+00	3.594554e+00	2.277900e+00
3.460626355337801e-09	3.033554e+00	3.617329e+00	2.293509e+00
3.474590116352216e-09	3.034085e+00	3.616946e+00	2.305047e+00
3.490365481655341e-09	3.048039e+00	3.639356e+00	2.317664e+00
3.502868972477359e-09	3.056175e+00	3.671278e+00	2.324234e+00
3.515018831940045e-09	3.035961e+00	3.690093e+00	2.328336e+00
3.528409534962785e-09	3.011655e+00	3.700281e+00	2.330182e+00
3.541090893153650e-09	2.994514e+00	3.696945e+00	2.329434e+00
3.551146959157022e-09	2.980646e+00	3.699248e+00	2.327257e+00
3.560745097532182e-09	2.987890e+00	3.688795e+00	2.324034e+00
3.571472026771537e-09	2.988752e+00	3.665028e+00	2.319342e+00
3.577540422850674e-09	2.967484e+00	3.662605e+00	2.319679e+00
3.583185475105299e-09	2.945222e+00	3.662470e+00	2.313228e+00
3.589381315743952e-09	2.928252e+00	3.656762e+00	2.305614e+00
3.593730615175493e-09	2.924534e+00	3.655098e+00	2.307196e+00
3.599364796593481e-09	2.924074e+00	3.654527e+00	2.299864e+00
3.605306337239918e-09	2.932831e+00	3.639910e+00	2.300375e+00
3.612232025777908e-09	2.941037e+00	3.618819e+00	2.296377e+00
3.615645226671242e-09	2.935446e+00	3.612322e+00	2.291763e+00
3.617893323991090e-09	2.930761e+00	3.608161e+00	2.288728e+00
3.621106302006047e-09	2.923270e+00	3.602418e+00	2.284404e+00
3.624871933208874e-09	2.915631e+00	3.600770e+00	2.289647e+00
3.631327422881394e-09	2.903244e+00	3.602455e+00	2.281160e+00
3.637942662968250e-09	2.897685e+00	3.592118e+00	2.284075e+00
3.643652345782242e-09	2.895795e+00	3.577304e+00	2.277045e+00
3.650115318387675e-09	2.885405e+00	3.563076e+00	2.269460e+00
3.655081561807747e-09	2.878230e+00	3.561305e+00	2.279981e+00
3.660052522497200e-09	2.872195e+00	3.564988e+00	2.274784e+00
3.665593899193209e-09	2.862946e+00	3.563622e+00	2.269400e+00
3.669630256072515e-09	2.855736e+00	3.559842e+00	2.265771e+00
3.674665179270566e-09	2.847111e+00	3.552993e+00	2.261613e+00
3.679296500453209e-09	2.859238e+00	3.543624e+00	2.284148e+00
3.682866443950628e-09	2.877722e+00	3.535248e+00	2.284495e+00
3.686894249557620e-09	2.886657e+00	3.526918e+00	2.282097e+00
3.689929482855447e-09	2.887820e+00	3.521333e+00	2.280504e+00
3.693000764441732e-09	2.886062e+00	3.516303e+00	2.279086e+00
3.697347009661839e-09	2.880757e+00	3.510223e+00	2.277425e+00
3.701905547796337e-09	2.873574e+00	3.505063e+00	2.276133e+00
3.705581844286247e-09	2.858591e+00	3.504739e+00	2.301432e+00
3.709262147791306e-09	2.838971e+00	3.507075e+00	2.301049e+00
3.713055788541103e-09	2.826363e+00	3.508120e+00	2.300989e+00
3.718350885229644e-09	2.817348e+00	3.507760e+00	2.301478e+00
3.724299378517605e-09	2.814946e+00	3.505609e+00	2.302830e+00
3.732165621637967e-09	2.816388e+00	3.500580e+00	2.339174e+00
3.740353267348806e-09	2.822316e+00	3.495168e+00	2.343997e+00
3.749233005665360e-09	2.870033e+00	3.489897e+00	2.377513e+00
3.758427164218964e-09	2.934983e+00	3.486002e+00	2.395710e+00
3.767802812810819e-09	2.959400e+00	3.487504e+00	2.407194e+00
3.777471677187293e-09	2.987711e+00	3.489548e+00	2.447778e+00
3.787639753663865e-09	3.016992e+00	3.493718e+00	2.464386e+00
3.799552292028731e-09	3.021759e+00	3.498593e+00	2.517779e+00
3.815301251623386e-09	3.033412e+00	3.511004e+00	2.549803e+00
3.829483474417697e-09	3.048297e+00	3.531599e+00	2.624194e+00
3.842377103931451e-09	3.100764e+00	3.547146e+00	2.672249e+00
3.856770245231004e-09	3.169119e+00	3.564902e+00	2.705403e+00
3.868662322206231e-09	3.240743e+00	3.558991e+00	2.769813e+00
3.879770234610618e-09	3.293446e+00	3.546329e+00	2.809677e+00
3.890854820702471e-09	3.294887e+00	3.557098e+00	2.832868e+00
3.898188691031368e-09	3.304746e+00	3.578761e+00	2.872400e+00
3.906668161628808e-09	3.320919e+00	3.605174e+00	2.888209e+00
3.915722852912333e-09	3.355087e+00	3.614235e+00	2.926718e+00
3.923137581493269e-09	3.389463e+00	3.605014e+00	2.952061e+00
3.931612967355228e-09	3.415059e+00	3.590945e+00	2.970131e+00
3.940359395395148e-09	3.430706e+00	3.584962e+00	2.980666e+00
3.950226180973745e-09	3.457763e+00	3.573329e+00	3.013185e+00
3.960104732182774e-09	3.482566e+00	3.541996e+00	3.032504e+00
3.972060001241616e-09	3.481966e+00	3.503815e+00	3.052638e+00
3.976424762890264e-09	3.478113e+00	3.492590e+00	3.069128e+00
3.980613649816987e-09	3.475091e+00	3.484346e+00	3.069331e+00
3.986266088178739e-09	3.474798e+00	3.483175e+00	3.072079e+00
3.990864110574916e-09	3.476411e+00	3.487029e+00	3.072449e+00
3.995886510194186e-09	3.479640e+00	3.493451e+00	3.072372e+00
3.997800424302552e-09	3.479573e+00	3.494787e+00	3.084400e+00
3.998931054294178e-09	3.478792e+00	3.494856e+00	3.084271e+00
4.000597061333506e-09	3.478140e+00	3.495081e+00	3.084035e+00
4.002466604750417e-09	3.478004e+00	3.495433e+00	3.083706e+00
4.006003626883158e-09	3.479011e+00	3.496069e+00	3.082900e+00
4.009212320292528e-09	3.480958e+00	3.496325e+00	3.081963e+00
4.012820493921069e-09	3.495379e+00	3.493771e+00	3.095885e+00
4.017188092562421e-09	3.520199e+00	3.487755e+00	3.094019e+00
4.021726388485235e-09	3.534181e+00	3.481646e+00	3.091732e+00
4.026345800494175e-09	3.560505e+00	3.467191e+00	3.102032e+00
4.030852487859417e-09	3.590954e+00	3.447902e+00	3.099109e+00
4.035796780027726e-09	3.602564e+00	3.430259e+00	3.104201e+00
4.040210202752552e-09	3.601920e+00	3.417057e+00	3.100790e+00
4.044690470914888e-09	3.593155e+00	3.408937e+00	3.106920e+00
4.049091814483024e-09	3.580841e+00	3.404820e+00	3.104761e+00
4.054075797705457e-09	3.569794e+00	3.400637e+00	3.100246e+00
4.060784569798127e-09	3.562972e+00	3.398902e+00	3.103315e+00
4.068801256568952e-09	3.559952e+00	3.395354e+00	3.095375e+00
4.074127426728766e-09	3.557741e+00	3.384262e+00	3.099968e+00
4.080353122057179e-09	3.555812e+00	3.365686e+00	3.093534e+00
4.087333367572950e-09	3.553213e+00	3.337844e+00	3.095458e+00
